seg1_senti,seg2_senti,cosine_miniLM,jaccard_sim,seg1_dependency_distance_mean,seg2_dependency_distance_mean,seg1_prop_adjacent_dependency_relation_mean,seg2_prop_adjacent_dependency_relation_mean,seg1_passed_quality_check,seg2_passed_quality_check,seg1_n_stop_words,seg2_n_stop_words,seg1_doc_length,seg2_doc_length,seg1_oov_ratio,seg2_oov_ratio,seg1_pos_prop_ADJ,seg2_pos_prop_ADJ,seg1_pos_prop_ADP,seg2_pos_prop_ADP,seg1_pos_prop_ADV,seg2_pos_prop_ADV,seg1_pos_prop_AUX,seg2_pos_prop_AUX,seg1_pos_prop_CCONJ,seg2_pos_prop_CCONJ,seg1_pos_prop_DET,seg2_pos_prop_DET,seg1_pos_prop_INTJ,seg2_pos_prop_INTJ,seg1_pos_prop_NOUN,seg2_pos_prop_NOUN,seg1_pos_prop_NUM,seg2_pos_prop_NUM,seg1_pos_prop_PART,seg2_pos_prop_PART,seg1_pos_prop_PRON,seg2_pos_prop_PRON,seg1_pos_prop_PROPN,seg2_pos_prop_PROPN,seg1_pos_prop_PUNCT,seg2_pos_prop_PUNCT,seg1_pos_prop_SCONJ,seg2_pos_prop_SCONJ,seg1_pos_prop_SYM,seg2_pos_prop_SYM,seg1_pos_prop_VERB,seg2_pos_prop_VERB,seg1_n_tokens,seg2_n_tokens,seg1_token_length_median,seg2_token_length_median,seg1_sentence_length_median,seg2_sentence_length_median,seg1_n_unique_tokens,seg2_n_unique_tokens,seg1_n_characters,seg2_n_characters,seg1_n_sentences,seg2_n_sentences,seg1_flesch_reading_ease,seg2_flesch_reading_ease,seg1_flesch_kincaid_grade,seg2_flesch_kincaid_grade,seg1_gunning_fog,seg2_gunning_fog,seg1_automated_readability_index,seg2_automated_readability_index,seg1_coleman_liau_index,seg2_coleman_liau_index,seg1_lix,seg2_lix,seg1_rix,seg2_rix,joint_first_order_coherence,feature
1.0,0.0623359386706236,-0.01580593125504325,-0.020237467127104572,-0.11123700516164246,-0.04268020770828709,-0.004749476991425835,-0.032611968395058,-0.08392538229181834,-0.019091356613337676,-0.05838090472318809,-0.013236027978505658,-0.06863588804466615,-0.029402943219200672,0.028777488887308366,0.03819059339013632,0.14789934827220685,0.02406039580528827,0.023714637379298995,-0.004152938550829154,0.03231047159448703,0.01351731927465647,-0.08985709978531879,0.013909884096218714,0.06076893215392788,0.017973414821711213,0.008461439630380136,0.0011558234429371046,0.07052334901032646,0.013108808292827413,0.022013995559331933,-0.0018149685922229074,-0.024535364720866,-0.032427137475067515,-0.11285084043043683,0.009830677352031253,0.062111897211063645,0.0007813353749204132,-0.013269159436339986,-0.009773180104907431,-0.16009381029857184,-0.07409647770053646,-0.11054440298253503,0.017077288350472966,-0.04749864320421836,-0.007507975872823265,-0.03794821363609481,-0.01921850683797841,-0.054957997367336205,-0.019817021502653364,-0.019285029079740956,-0.02720764955542462,-0.060285121305384305,-0.023328855582971146,-0.08066869850642044,-0.02709591982604451,-0.0584826869983771,-0.02552218409088126,0.02041170542522682,0.005873298531142282,0.03578322797973486,0.0235889674936026,-0.05597013464953225,-0.026989296012571894,-0.0546822803851117,-0.017633402894076496,-0.05597811808086079,-0.03332276656300667,-0.061486238302488665,-0.05584283078889186,-0.02023597694818752,-0.021860131178995483,-0.032732233831496454,-0.022033908867819276,-0.06547883750984972,seg1_senti
0.0623359386706236,1.0,-0.028096626926952906,-0.035028068464915345,-0.041538966325288675,-0.08963706825975937,0.013193048770725972,0.011588021357975249,-0.03069970845705642,-0.12229206165357877,0.003460246855787534,-0.08958190301339922,-0.006810282318110802,-0.09528188855205813,-0.0033848373681968635,0.003084662715952068,0.0036450261705568265,0.05038823086059206,0.030720599164315996,0.0543287699219019,-0.011573512883244813,0.011503387674565114,-0.0025280618620608453,-0.02347302619349498,-0.032050369362273706,0.03274136360252296,-0.003651364034552088,-0.06005033707185174,-0.004506992467710701,0.08373604505134506,0.02185546886821824,0.04037640728905811,0.021936192417400635,0.0439350067014442,-0.0028031227525703575,-0.1488013318126278,0.02134703685293514,0.0228698991732455,-0.028048800137355053,0.015280218246460659,-0.06776035256700469,-0.03660963748447451,0.028281337039954346,-0.03701155896583142,-0.011425275944458203,-0.021902188319082302,0.018633125530247943,-0.09476767360183909,0.002438665266087507,-0.09553254737911565,0.011009969846387042,0.03087954991315309,-0.006073623664600987,-0.09922661322538573,-0.0035945241125871635,-0.10711050617945513,0.0012581317340499773,-0.08487042055007706,0.01469013442496709,0.0047270688453270645,-0.009723480402392584,0.03966320189108827,0.00261858911272743,-0.07975431570333177,0.007511697957936202,-0.06652461028318965,0.004670481164091441,-0.0780807111051048,0.01452163619845181,-0.04837414548465911,0.015552539041011311,-0.05277763436200388,0.010134417485772143,-0.04645757333023964,-0.07639040091231654,seg2_senti
-0.01580593125504325,-0.028096626926952906,1.0,0.5747137234392408,0.0030924927320615456,0.04327535061224085,0.017182652961848625,0.04616335003516025,0.0044076714314929925,0.07601664919582467,0.0006759583469564888,0.045069881835924634,-0.0006268595241413522,0.05428271458584967,-0.07729827390025404,-0.09707059754059849,0.015092120023407497,0.08596067010038655,-0.015147989342921026,-0.008183080993622983,-0.05588531637186929,0.019980082668146482,0.07322044418398152,0.05561741986687406,-0.02270058766945015,0.038992459311199074,0.03369764868545758,0.01255232082760325,-0.03927649615713612,-0.04601724848410532,0.045566663590120585,0.06560786273851049,0.010828020585327457,-0.04710557301918496,0.012812582617703863,0.020627267895230967,-0.0367044511975815,-0.12541467622319788,-0.01500953381692475,0.009653017330673627,-0.027521053928110526,-0.07364191998462599,-0.00036673894375990494,0.02544063320154512,-0.03671121821007854,-0.00044904698347022424,0.01765872273197165,-0.036924128379223736,0.0031510410229167634,0.0613131548437036,0.06688131999804287,0.042808136329199525,-0.003830982264977662,0.05799122332856429,-0.000636686158926828,0.07345610479747484,-0.0031909269692913687,0.06700221420879202,-0.002137023477217525,0.007229165312333183,-0.0385303466944759,-0.1011801471181541,0.020258790900169934,0.09219512957168996,0.034473433050094995,0.08158350399111741,0.01981552336464483,0.09153056226351311,0.07670080981202018,0.12591907832210295,0.02831115395298956,0.08287725054627344,-0.005246266228623849,0.0596067640808334,0.2907402862875513,cosine_miniLM
-0.020237467127104572,-0.035028068464915345,0.5747137234392408,1.0,0.012714404972044062,0.02375432497331054,0.015494441206099264,0.03298560948984509,0.015561765010206332,0.061590314948853524,0.01451431375606204,0.03756327394571253,0.006038020466811762,0.02079678664459268,-0.04386164770591099,-0.05367115307652047,-0.017321684843712257,0.0038972988971960804,0.0026160085058117926,0.005973029648674086,-0.040775639901045976,-0.019606478697807805,0.025110348574411617,0.0337968738112102,0.00416429577147434,0.036354748975815136,0.06470771526480187,0.0658041400202859,-0.016439174464973377,-0.0408856974216002,-0.004720950704488225,0.008103196600941453,0.032563211880288837,0.008347503828598708,-0.003714157144507642,0.02091820914820449,0.007252376821967454,-0.021120005275243083,0.004490345279993763,-0.006577754155342722,-0.027813515375032356,-0.03300720425674304,0.02501602088047176,0.05065657971198772,-0.00028563782098050785,-0.005334958060491229,-0.01764185758266609,-0.043536836262858314,0.010440622113296598,0.024126405132929605,-0.0522455442758854,-0.04686564687346054,0.011618057914128706,0.02603250074173686,0.007476917254454219,0.02772274189080088,-0.004276848280194689,0.011790264131227537,-0.024746604714337195,-0.02044422702775045,0.012433066523356975,-0.003928897291093525,-0.0007091328060731503,0.01703544900754864,-0.00028345026218315223,0.013848348715917346,-0.020236387861326772,0.0001347310653120966,-0.01929791937016988,0.0026618480142779426,-0.016340662417291103,-0.0009285657375391745,-0.006248877309194935,0.001989387230793042,0.31404205698741894,jaccard_sim
-0.11123700516164246,-0.041538966325288675,0.0030924927320615456,0.012714404972044062,1.0,0.43218749130787526,-0.24735234096500142,-0.0772637631001107,0.5464566099668391,0.2965381891471378,0.5943378661972303,0.11921563432628439,0.65429524293079,0.21778433266091313,-0.2684501676644083,-0.14796109024318083,0.024118209052167792,-0.1008206974264895,-0.032194259295542135,0.06294734628452674,0.039466425223505394,-0.09151863980061883,-0.05982490543991285,-0.13421629948802694,0.18282731464535934,0.013411525849898687,0.11547140031242534,0.0671048421116602,-0.12683747937611478,-0.11006452371040533,-0.21599104429119448,-0.12660184873997546,-0.021844562593820786,0.10403519084893577,0.09046267033243646,0.005567647645811408,-0.09637085814702354,-0.14423908198052834,0.017928631188040712,0.23280036457478667,0.5097383730163614,0.4886970710919528,0.16373079498437212,-0.0352824466908191,0.042045585941858234,0.026580752517550505,-0.12130984684761807,-0.05422841320463348,0.5951214396287379,0.16311659650620394,-0.16181736998546994,-0.044401991256432426,0.6486588673511964,0.18758330805115772,0.6446305563349395,0.20692069732411172,0.588316093026411,0.17328141050670676,-0.21185146402181995,-0.10126259361856822,-0.21580941689835215,-0.027678364577331832,0.5008143175753779,0.12257557036665835,0.43227638958433034,0.0818049572056467,0.5058441345937619,0.15004571825614132,0.19218172572542208,0.09663596407416056,0.312715703818472,0.08394901455724152,0.4155386919322439,0.10747671760465216,0.36532037303781234,seg1_dependency_distance_mean
-0.04268020770828709,-0.08963706825975937,0.04327535061224085,0.02375432497331054,0.43218749130787526,1.0,-0.11291358538406875,-0.20486137862830767,0.31721163603400937,0.5399625526853856,0.17905376511831975,0.5370014221262077,0.23417475977002183,0.6485788963213156,-0.17717809133145251,-0.25233209817745317,0.022517838280089464,-0.09849631292085811,0.0007369051107554087,0.11336079863166479,-0.003650361994082887,-0.11811021956588964,-0.07094929522504168,-0.11917706758719633,0.06767635326470828,0.12206118918211771,0.08627108414014746,0.10611000419057705,-0.0832319623040394,-0.16272152578805568,-0.17861031745805517,-0.17558365912824986,-0.061745302192811255,0.15669207654201386,0.028037760275927047,0.0427366473654775,-0.12173567218546008,-0.13048472067874375,0.14716064584457555,0.1625345697712562,0.5057300308118701,0.5056101385910119,-0.0023631883890420646,0.11630896932707593,0.039922257514969584,0.07176789636160028,-0.11634615185595476,-0.09459612303008609,0.17620603409598828,0.5930076690192374,-0.11659075918069459,-0.11126418137135481,0.20676440264921098,0.6431866677377399,0.21056973060603812,0.6465609723204573,0.1758554950055783,0.5942238569031032,-0.1134877410077822,-0.22031375078422108,0.00913319129573969,-0.25735358370378475,0.11364325730710823,0.5158174195425308,0.0756435033528592,0.44780131552220814,0.13022568454837605,0.5330595980637699,0.03725238215990015,0.24657619708899017,0.03199546935967018,0.38340330192119415,0.07419865576940081,0.45642194772656863,0.35283708834456345,seg2_dependency_distance_mean
-0.004749476991425835,0.013193048770725972,0.017182652961848625,0.015494441206099264,-0.24735234096500142,-0.11291358538406875,1.0,0.04857688923826041,-0.044325605660870376,-0.07338421869816933,-0.07982331319474537,-0.02965722042225871,-0.08707976756770872,-0.05828228835052918,-0.10980064066497126,0.0054024064148142275,-0.0006599994336237062,0.043247370719055885,0.4101832299953984,-0.015248953154712364,-0.08770907944283199,0.02707982745918236,-0.1284821882742762,0.030864297294226233,-0.02702420733338689,-0.023198971397785647,0.0451681097952595,-0.013414891058354092,-0.15309849907088366,-0.005124352714266084,0.21484001803165562,0.05016394213286206,0.05412744933188617,-0.026833658082624164,-0.046335674502532835,-0.013184762722114043,-0.015719647889842297,0.028770423121749187,-0.11401658266252662,-0.044892770280108824,-0.16699984743576127,-0.1379057802062129,-0.10831243024470749,0.019823616730638365,-0.040539346545398945,0.0027322720079930737,-0.011927091280410456,0.03154423626671425,-0.06213465632657841,-0.04228050618812358,0.05561362052014563,0.07356073558422205,-0.02529777300501214,-0.03748102934886563,-0.07807565142581063,-0.05017864477443721,-0.049254874572290795,-0.03559960828766482,-0.2304695638920345,-0.012769164181259772,-0.06639882995921643,-0.03557343594669104,0.024170079763993754,-0.0005608173858704528,0.033933706944786576,0.0068391454729526385,0.034119363048188314,0.0036631101899324207,0.21047764571115216,0.035156372757769415,0.05836967050480899,0.014943985771989956,0.05614284482361094,-0.0029528760916674186,0.14746901959923223,seg1_prop_adjacent_dependency_relation_mean
-0.032611968395058,0.011588021357975249,0.04616335003516025,0.03298560948984509,-0.0772637631001107,-0.20486137862830767,0.04857688923826041,1.0,-0.10630992994112701,-0.04482841718141889,-0.0465323933195974,-0.07306439939798856,-0.05402808712476653,-0.06270885193250474,-0.006731769819348325,-0.11575904389429333,0.004113312666190741,-0.015941802373719,0.007058387782490067,0.3412265750185284,0.011932314208967778,-0.07678602833443655,0.031206330012626005,-0.1190808952438238,-0.03187953700553414,-0.05405396840133253,-0.03062206999698727,0.05764331840483912,-0.04345369965162587,-0.13001916596745636,0.06661391542160164,0.24664459150962134,0.029549344220169558,-0.048794555995065866,-0.00209925308034007,-0.07901416491544329,-0.0029276228362439772,-0.06198713851792901,-0.02492375219906773,-0.04236590768410123,-0.08602606129015619,-0.12130201547366665,-0.007048790005706,-0.1194768432329359,0.0017933204685720546,-0.006865343218858237,0.036639110456866575,-0.0004999496253560598,-0.046788625671416575,-0.04643830050947695,0.084693795041692,0.11792920741258048,-0.048795209037020476,-0.014072478340751537,-0.05593865423199465,-0.052120580790660544,-0.037578845795244224,-0.022930956938890124,-0.008405198731468541,-0.2073330732441692,-0.026452398169913096,-0.11304558719984513,-0.012878909072973345,0.0576499890241842,-0.0007453985138089395,0.04047665883139533,0.00033617137445511645,0.06468407891447436,0.05462467885655125,0.24289362546910676,0.0254911409915583,0.0791424705450503,-0.004615802569561583,0.05952502559134379,0.08448771790790743,seg2_prop_adjacent_dependency_relation_mean
-0.08392538229181834,-0.03069970845705642,0.0044076714314929925,0.015561765010206332,0.5464566099668391,0.31721163603400937,-0.044325605660870376,-0.10630992994112701,1.0,0.2841588841106431,0.4309079700125008,0.14883798415662536,0.4623086576983659,0.2009087051745836,-0.18807172814095305,-0.0778904569641389,-0.02689348019733038,-0.08372654958309597,0.1102534557389291,0.04822848768349737,-0.017207104958889108,-0.0659932605544299,-0.13833336509902044,-0.10920547673684515,0.14514603507305976,0.018977958344113883,0.16704528510591246,0.07720011966657456,-0.133072906143451,-0.056781876465637184,-0.14508353093593246,-0.1306014328275007,-0.02499935588123883,0.054273753051924487,0.09638790254713077,-0.0024975252712017447,-0.06994291187315614,-0.07032997568003956,-0.007352522137495841,0.15788209183699584,0.3264417344658501,0.3283890192366341,0.13307899947725485,0.03329542434627409,0.026065978776282427,0.009720537433153955,-0.0877536647123591,-0.04422257841539497,0.44057582539219,0.16793055618938793,-0.2345502008093547,-0.08548644349041284,0.44629908411249364,0.17273514772722023,0.5070369865710449,0.19666120479604823,0.42849155980485515,0.16112938395608048,-0.020462617686750346,-0.026539218607799148,-0.10461454097852048,-0.011834713288218586,0.3192097233487308,0.10518937183388788,0.25793069629584847,0.08166993821819449,0.3156199755540915,0.11157330403631578,0.17892371424858386,0.02767664033806031,0.16570070742035023,0.05672209628001658,0.2850897489892871,0.08777409629120214,0.2733262473130604,seg1_passed_quality_check
-0.019091356613337676,-0.12229206165357877,0.07601664919582467,0.061590314948853524,0.2965381891471378,0.5399625526853856,-0.07338421869816933,-0.04482841718141889,0.2841588841106431,1.0,0.15458670304402838,0.41135262703555137,0.18785891316145137,0.467488964299593,-0.10484901623795491,-0.1797164622214539,-0.014082178806847274,-0.09788404231029424,0.006030994942259946,0.1715822289770034,-0.011712507487435147,-0.13178682462923705,-0.07453773346349107,-0.14465004581949661,0.05962766116829101,0.10638258880574729,0.09552293712193059,0.152157814712515,-0.06481623095867338,-0.17898036494316266,-0.13138757726272807,-0.0887668425819391,-0.07337689796046354,0.038488586979064,0.02090148862129767,0.07677166837041717,-0.06028139925904969,-0.10417973816131053,0.08257641254158771,0.09975273370505713,0.3143078925056823,0.28097787547874503,0.00412606914335896,0.1336812584737682,0.02646721657764551,0.03037123646031045,-0.046053086422355824,-0.0548485931986612,0.15329285057422892,0.45103436105650935,-0.12633154635284474,-0.1272150103324225,0.16095906471547208,0.4526949105027679,0.1800499030879963,0.5166285757359715,0.14588118162720956,0.4480066849148909,-0.018517593217653533,-0.007719115532455796,-0.0035639035828050033,-0.19260442215752424,0.09483794905810199,0.3703567421523211,0.06135857483630267,0.308708164158849,0.09619091424394272,0.37169801564389443,0.026682384514073225,0.262537865403158,0.03292816352705863,0.2690702389298858,0.06281687888757183,0.34473294964030565,0.3192649914323286,seg2_passed_quality_check
